ZELAR+ — RANKING REAL DE PARIDADE WEB → EXPO

01. enfermagem.tsx -> enfermagem.tsx | WEB=1421 EXPO=16 GAP=1405 RATIO=88.8x
02. cliente.$clienteId.tsx -> cliente-detalhes.tsx | WEB=1063 EXPO=10 GAP=1053 RATIO=106.3x
03. usuarios.novo.tsx -> AUSENTE | WEB=981 EXPO=0 GAP=981 RATIO=999x
04. profissional.$profId.tsx -> profissional-perfil.tsx | WEB=972 EXPO=9 GAP=963 RATIO=108.0x
05. configuracoes.tsx -> configuracoes.tsx | WEB=718 EXPO=42 GAP=676 RATIO=17.1x
06. assinatura-documentos.tsx -> assinatura-documentos.tsx | WEB=632 EXPO=22 GAP=610 RATIO=28.7x
07. auditoria.tsx -> auditoria.tsx | WEB=626 EXPO=16 GAP=610 RATIO=39.1x
08. dashboard-executivo.tsx -> dashboard-executivo.tsx | WEB=645 EXPO=54 GAP=591 RATIO=11.9x
09. logs.tsx -> logs.tsx | WEB=562 EXPO=15 GAP=547 RATIO=37.5x
10. cliente-detalhes.tsx -> cliente-detalhes.tsx | WEB=537 EXPO=10 GAP=527 RATIO=53.7x
11. relatorios.tsx -> relatorios.tsx | WEB=532 EXPO=16 GAP=516 RATIO=33.2x
12. notificacoes.tsx -> notificacoes.tsx | WEB=581 EXPO=91 GAP=490 RATIO=6.4x
13. usuarios.$usuarioId.tsx -> usuarios-detalhe.tsx | WEB=486 EXPO=10 GAP=476 RATIO=48.6x
14. crm-clientes.tsx -> crm-clientes.tsx | WEB=468 EXPO=27 GAP=441 RATIO=17.3x
15. onboarding.tsx -> onboarding.tsx | WEB=519 EXPO=96 GAP=423 RATIO=5.4x
16. documentos.tsx -> documentos.tsx | WEB=445 EXPO=25 GAP=420 RATIO=17.8x
17. permissoes.tsx -> permissoes.tsx | WEB=435 EXPO=23 GAP=412 RATIO=18.9x
18. central-notificacoes.tsx -> central-notificacoes.tsx | WEB=399 EXPO=23 GAP=376 RATIO=17.3x
